pose,joint,mean,std,learned_multiplier,min_angle,max_angle
Trikonsana,right_shoulder_angle,101.7523,26.0168,2.0871,47.4523,156.0523
Trikonsana,right_elbow_angle,168.3152,12.2836,1.3670,151.5239,185.1065
Trikonsana,left_hip_angle,112.1859,44.7264,1.5320,43.6672,180.7046
Trikonsana,left_knee_angle,173.3972,11.5454,1.5354,155.6700,191.1244
Trikonsana,right_hip_angle,89.9185,47.4929,1.5941,14.2095,165.6276
Trikonsana,right_knee_angle,173.5112,5.8460,2.4755,159.0395,187.9828
Urdhva Prasarita eka padasana,left_shoulder_angle,114.8246,42.4679,1.3643,56.8859,172.7633
Urdhva Prasarita eka padasana,left_elbow_angle,131.5226,38.2141,1.3813,78.7381,184.3072
Urdhva Prasarita eka padasana,right_shoulder_angle,113.6137,44.3083,1.2915,56.3889,170.8385
Urdhva Prasarita eka padasana,right_elbow_angle,130.5522,39.6921,1.6144,66.4715,194.6328
Urdhva Prasarita eka padasana,left_hip_angle,100.1015,65.9068,1.4223,6.3631,193.8399
Urdhva Prasarita eka padasana,left_knee_angle,159.0566,27.3495,1.6683,113.4290,204.6841
Urdhva Prasarita eka padasana,right_hip_angle,88.0643,72.1504,1.2356,-1.0835,177.2120
Urdhva Prasarita eka padasana,right_knee_angle,166.7598,14.2276,4.3570,104.7698,228.7498
Vrksasana,left_shoulder_angle,92.1628,66.3970,1.2924,6.3501,177.9755
Vrksasana,left_elbow_angle,96.9300,57.7710,1.3582,18.4641,175.3958
Vrksasana,right_shoulder_angle,92.6113,67.2620,1.2556,8.1590,177.0636
Vrksasana,right_elbow_angle,98.9172,58.0719,1.3497,20.5378,177.2965
Vrksasana,left_hip_angle,150.1738,30.8300,1.6662,98.8047,201.5429
Vrksasana,left_knee_angle,117.1766,70.0521,1.4474,15.7838,218.5694
Vrksasana,right_hip_angle,140.1268,31.4895,1.3369,98.0294,182.2243
Vrksasana,right_knee_angle,90.5494,70.2022,1.2677,1.5546,179.5441
Warrior ii pose,left_shoulder_angle,95.2009,18.9193,2.1795,53.9660,136.4358
Warrior ii pose,left_elbow_angle,168.8433,20.0794,1.2892,142.9572,194.7293
Warrior ii pose,right_shoulder_angle,94.9529,22.2214,0.9876,73.0072,116.8986
Warrior ii pose,right_elbow_angle,168.7244,19.6318,0.5925,157.0926,180.3562
Warrior ii pose,left_hip_angle,121.8471,21.9126,1.9078,80.0429,163.6513
Warrior ii pose,left_knee_angle,146.3350,34.2758,1.3264,100.8711,191.7988
Warrior ii pose,right_hip_angle,120.4601,23.3441,2.3361,65.9251,174.9950
Warrior ii pose,right_knee_angle,142.3094,31.8955,1.7393,86.8348,197.7841
Yoganidrasana,left_shoulder_angle,43.6894,39.3770,2.0985,-38.9422,126.3210
Yoganidrasana,left_elbow_angle,124.1146,41.7735,2.0840,37.0604,211.1688
Yoganidrasana,right_shoulder_angle,42.6927,34.8546,2.7156,-51.9598,137.3451
Yoganidrasana,right_elbow_angle,124.7384,46.0560,2.4243,13.0856,236.3912
Yoganidrasana,left_hip_angle,28.9161,39.1111,2.2868,-60.5212,118.3535
Yoganidrasana,left_knee_angle,127.0922,46.1690,2.5051,11.4350,242.7495
Yoganidrasana,right_hip_angle,31.2428,33.9729,2.7130,-60.9252,123.4107
Yoganidrasana,right_knee_angle,123.2783,44.2236,2.4485,14.9958,231.5607
